sample_name	PC1	PC2	PC3	PC4	PC5	PC6	PC7	PC8	PC9	PC10	SubjectID	Location	SampleType	SampleCollectionWeek
N01_1_2	-7.6852277577456665	1.8082430658027249	-1.2108561637307056	-0.7849652305139095	-0.10349471318514054	-0.7880960441194151	-1.085231842856026	0.29236300867460013	0.10882452855106439	-0.12317027832238585	N01	UCMC	Axilla	Week.1
N01_1_2	-7.6852277577456665	1.8082430658027249	-1.2108561637307056	-0.7849652305139095	-0.10349471318514054	-0.7880960441194151	-1.085231842856026	0.29236300867460013	0.10882452855106439	-0.12317027832238585	ZJH_N01	ZCH	Axilla	Week.1
N01_1_3	-7.888083932509734	2.1384490403932817	-1.8225171744740578	-0.24285049258028718	-0.5859510982790697	0.0053661179992964825	-0.31492189006654003	0.3041632392543956	-1.1830131724059034	-1.0052375518681242	N01	UCMC	Groin	Week.1
N01_1_3	-7.888083932509734	2.1384490403932817	-1.8225171744740578	-0.24285049258028718	-0.5859510982790697	0.0053661179992964825	-0.31492189006654003	0.3041632392543956	-1.1830131724059034	-1.0052375518681242	ZJH_N01	ZCH	Groin	Week.1
N01_1_4	4.732807638731528	-4.596836901430898	2.3728144467728414	-2.7721872802006855	2.9687720191227216	-2.839932425680056	-1.2745545930503248	0.2736416875872671	-3.9676634116301006	0.9910745449603775	N01	UCMC	Stool	Week.1
N01_1_4	4.732807638731528	-4.596836901430898	2.3728144467728414	-2.7721872802006855	2.9687720191227216	-2.839932425680056	-1.2745545930503248	0.2736416875872671	-3.9676634116301006	0.9910745449603775	ZJH_N01	ZCH	Stool	Week.1
N01_2_2	-6.742496205754852	-1.7607913228858367	3.006695666601402	-2.4680335140034693	-0.4771615352016573	-0.960201946411648	-1.5149802828804086	0.22201305425356538	-1.618520286856848	-1.0269398208921134	N01	UCMC	Axilla	Week.3
N01_2_2	-6.742496205754852	-1.7607913228858367	3.006695666601402	-2.4680335140034693	-0.4771615352016573	-0.960201946411648	-1.5149802828804086	0.22201305425356538	-1.618520286856848	-1.0269398208921134	ZJH_N01	ZCH	Axilla	Week.3
N01_2_3	2.389056232982005	-0.721935543767371	0.21025604436104472	-1.2305842950950192	1.580731325724954	-1.7303105648473245	0.42578993393272285	-0.3115369251604614	-2.6039926229921773	-0.36140678935693604	N01	UCMC	Groin	Week.3
N01_2_3	2.389056232982005	-0.721935543767371	0.21025604436104472	-1.2305842950950192	1.580731325724954	-1.7303105648473245	0.42578993393272285	-0.3115369251604614	-2.6039926229921773	-0.36140678935693604	ZJH_N01	ZCH	Groin	Week.3
N01_2_4	12.0154235945176	-3.606383654766457	-2.6205532237063367	-0.21328477482368283	4.329570364895629	-0.8502215387750557	3.1233236061193734	0.26088024859667636	-1.236378848298594	1.9431264404583843	N01	UCMC	Stool	Week.3
N01_2_4	12.0154235945176	-3.606383654766457	-2.6205532237063367	-0.21328477482368283	4.329570364895629	-0.8502215387750557	3.1233236061193734	0.26088024859667636	-1.236378848298594	1.9431264404583843	ZJH_N01	ZCH	Stool	Week.3
N02_1_2	-6.990147797707585	0.18438906081911885	0.49253772119851824	-1.8540840335555964	-0.3552360470407802	-0.01096619354027778	-1.6345251273905885	0.5791656386826002	-1.1154675829715448	-0.6697244527730284	N02	UCMC	Axilla	Week.1
N02_1_2	-6.990147797707585	0.18438906081911885	0.49253772119851824	-1.8540840335555964	-0.3552360470407802	-0.01096619354027778	-1.6345251273905885	0.5791656386826002	-1.1154675829715448	-0.6697244527730284	ZJH_N02	ZCH	Axilla	Week.1
N02_1_3	-8.545636094832336	4.70318570544883	-5.146750187370948	1.338188482992773	-0.3049218912930366	-0.10775776481216352	0.6301616475610644	0.18876162221041728	-0.014183470693824496	-0.19968745545046562	N02	UCMC	Groin	Week.1
